epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,268.99,0.3864,0.40031,0.84133,0.93338,0.92523,0.92908,0.85608,0.37897,0.36327,0.83898,0.00520548,0.00520548,0.00520548
100,271.658,0.40048,0.41637,0.85002,0.9356,0.92807,0.93605,0.86612,0.36006,0.34457,0.83834,0.00512775,0.00512775,0.00512775
101,274.329,0.39744,0.40821,0.84668,0.93682,0.92925,0.92688,0.86216,0.36515,0.34836,0.83662,0.00505,0.00505,0.00505
102,276.982,0.39523,0.41026,0.84184,0.9348,0.92925,0.92789,0.8589,0.37591,0.35294,0.83926,0.00497225,0.00497225,0.00497225
103,279.65,0.38496,0.40371,0.83434,0.93346,0.92925,0.93539,0.858,0.38677,0.36105,0.84226,0.00489452,0.00489452,0.00489452
104,282.329,0.37773,0.39588,0.83221,0.93346,0.92642,0.93027,0.86217,0.37201,0.35294,0.83775,0.00481682,0.00481682,0.00481682
105,285.093,0.37048,0.39587,0.83627,0.93058,0.92807,0.92115,0.84793,0.37296,0.35349,0.83894,0.00473919,0.00473919,0.00473919
106,287.739,0.38305,0.40816,0.83809,0.93575,0.92571,0.92387,0.84545,0.38368,0.35744,0.83751,0.00466163,0.00466163,0.00466163
107,290.784,0.37717,0.4004,0.83709,0.93619,0.92571,0.92542,0.8448,0.40554,0.36576,0.84106,0.00458416,0.00458416,0.00458416
108,293.455,0.3752,0.3927,0.83617,0.93618,0.92571,0.92745,0.8511,0.37725,0.36536,0.83956,0.00450682,0.00450682,0.00450682
109,296.12,0.38051,0.40217,0.83948,0.93132,0.92925,0.92987,0.86112,0.36653,0.34546,0.83549,0.0044296,0.0044296,0.0044296
110,298.773,0.37969,0.39056,0.83007,0.93253,0.92905,0.93153,0.86485,0.35173,0.35125,0.83386,0.00435254,0.00435254,0.00435254
111,301.435,0.38301,0.38804,0.83554,0.93237,0.92673,0.92559,0.85401,0.3693,0.35019,0.83317,0.00427565,0.00427565,0.00427565
112,304.502,0.38466,0.39798,0.83534,0.93317,0.92571,0.92972,0.85722,0.37734,0.35143,0.83248,0.00419895,0.00419895,0.00419895
113,307.234,0.37311,0.3933,0.83804,0.9301,0.93042,0.93341,0.86461,0.36561,0.34953,0.8334,0.00412246,0.00412246,0.00412246
114,309.92,0.38157,0.3981,0.83543,0.9352,0.92689,0.93636,0.87019,0.34471,0.33977,0.83113,0.0040462,0.0040462,0.0040462
115,312.597,0.36383,0.38938,0.8308,0.92893,0.9316,0.93558,0.87085,0.3493,0.33312,0.83198,0.00397019,0.00397019,0.00397019
116,315.271,0.37417,0.39999,0.833,0.93262,0.93042,0.93164,0.86765,0.34836,0.3352,0.82938,0.00389445,0.00389445,0.00389445
117,317.957,0.37505,0.38563,0.83232,0.93304,0.93042,0.93002,0.86222,0.34339,0.33401,0.82852,0.00381899,0.00381899,0.00381899
118,320.709,0.37436,0.39433,0.83482,0.93667,0.92436,0.9218,0.86541,0.34272,0.33666,0.82925,0.00374383,0.00374383,0.00374383
119,323.373,0.3809,0.39306,0.83587,0.92948,0.93256,0.9309,0.85376,0.38261,0.34289,0.83156,0.00366899,0.00366899,0.00366899
120,326.02,0.37965,0.39393,0.83908,0.93639,0.92689,0.92753,0.86083,0.36448,0.3454,0.83329,0.0035945,0.0035945,0.0035945
121,328.694,0.36531,0.38808,0.83462,0.93687,0.92759,0.92413,0.86164,0.36485,0.34209,0.83385,0.00352037,0.00352037,0.00352037
122,331.345,0.36386,0.36869,0.83019,0.93632,0.92689,0.92931,0.86575,0.35392,0.34476,0.83219,0.00344661,0.00344661,0.00344661
123,333.997,0.37236,0.39091,0.83132,0.93007,0.92925,0.93023,0.8724,0.33741,0.33133,0.82659,0.00337325,0.00337325,0.00337325
